lenus,1,2,3,4,5,6,7,8,9,1,11,12,13,14,15,16,17,18,19,2,21,22,23,24,25,26,27,28,29,3,31
January,ThemedPark,SMAAcademy,Bank,ThemedPark,Cinema,PoliceStation,HotSpring,,Cinema,SMAAcademy,PoliceStation,,Museum,,,Beach,HotSpring,ShoppingCentre,,Park,ShoppingCentre,PoliceStation,,FitnessClub,,SpiritTemple,ThemedPark,,Cinema,,
February,FitnessClub,Cinema,HotSpring,,HotSpring,SportBar,Museum,SportBar,,Bank,Museum,,,HotSpring,Casino,Museum,,Museum,,ThemedPark,,,Bank,Museum,Park,ThemedPark,Museum,Bank,,,
March,SMAAcademy,Beach,Beach,Park,Lounge,Cinema,SportBar,Bank,Bank,,FitnessClub,Beach,Lounge,Bank,,ThemedPark,Lounge,SMAAcademy,,Museum,,Museum,,Pier,SMAAcademy,FitnessClub,SMAAcademy,Beach,HotSpring,Nightclub,SpiritTemple
April,,Pier,SMAAcademy,Nightclub,,Lounge,Cinema,,Cinema,Museum,Beach,Museum,Casino,ThemedPark,ThemedPark,,Museum,SMAAcademy,FitnessClub,Museum,PoliceStation,Park,Casino,Nightclub,Nightclub,Casino,Nightclub,,,,
May,,,Beach,Nightclub,Casino,,Casino,ShoppingCentre,,Cinema,Park,SMAAcademy,HotSpring,Casino,ThemedPark,SMAAcademy,,Museum,SpiritTemple,PoliceStation,Museum,SMAAcademy,SMAAcademy,,ShoppingCentre,ShoppingCentre,,,Pier,PoliceStation,SpiritTemple
June,,,Lounge,,Pier,SMAAcademy,Cinema,ThemedPark,PoliceStation,Bank,Museum,Casino,PoliceStation,FitnessClub,Casino,ShoppingCentre,,Lounge,,Bank,Nightclub,Casino,Nightclub,ShoppingCentre,Lounge,ThemedPark,Museum,SpiritTemple,Pier,Beach,
July,SMAAcademy,Beach,Beach,Park,Lounge,Cinema,SportBar,Bank,Bank,,FitnessClub,Beach,Lounge,Bank,,ThemedPark,Lounge,SMAAcademy,,Museum,,Museum,,Pier,SMAAcademy,FitnessClub,SMAAcademy,Beach,HotSpring,Nightclub,SpiritTemple
August,ThemedPark,SMAAcademy,Bank,ThemedPark,Cinema,PoliceStation,HotSpring,,Cinema,SMAAcademy,PoliceStation,,Museum,,,Beach,HotSpring,ShoppingCentre,,Park,ShoppingCentre,PoliceStation,,FitnessClub,,SpiritTemple,ThemedPark,,Cinema,,
September,,Pier,SMAAcademy,Nightclub,,Lounge,Cinema,,Cinema,Museum,Beach,Museum,Casino,ThemedPark,ThemedPark,,Museum,SMAAcademy,FitnessClub,Museum,PoliceStation,Park,Casino,Nightclub,Nightclub,Casino,Nightclub,,,,
October,,,Beach,Nightclub,Casino,,Casino,ShoppingCentre,,Cinema,Park,SMAAcademy,HotSpring,Casino,ThemedPark,SMAAcademy,,Museum,SpiritTemple,PoliceStation,Museum,SMAAcademy,SMAAcademy,,ShoppingCentre,ShoppingCentre,,,Pier,PoliceStation,SpiritTemple
November,SMAAcademy,Beach,Beach,Park,Lounge,Cinema,SportBar,Bank,Bank,,FitnessClub,Beach,Lounge,Bank,,ThemedPark,Lounge,SMAAcademy,,Museum,,Museum,,Pier,SMAAcademy,FitnessClub,SMAAcademy,Beach,HotSpring,Nightclub,
December,PoliceStation,Nightclub,Lounge,,Park,,Lounge,ShoppingCentre,FitnessClub,ThemedPark,SportBar,Museum,Park,,,Museum,ThemedPark,PoliceStation,SportBar,Beach,ThemedPark,SpiritTemple,Park,Cinema,PoliceStation,ThemedPark,Museum,Bank,,,Nightclub
sirena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomoru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,